f,task_duration_ms,uncommitted_lineage
8,0,7.996863476030143
8,1,7.996843434343434
8,2,7.996843434343434
8,3,7.996843434343434
8,4,7.996843434343434
8,5,7.996843434343434
8,6,7.996843434343434
8,7,7.996843434343434
8,8,7.990049302549303
8,9,7.989841370049703
8,10,7.992086038961039
8,11,7.9947465728715725
8,12,7.671697130030464
8,13,6.97167608625942
8,15,5.966958774250441
8,17,4.9990755772005775
8,18,4.987150773609107
8,19,4.951218534551868
8,20,4.015068843193843
8,30,2.9946163019079686
8,40,1.9994939474106141
8,50,1.110051406926407
8,100,0.16662407808241142
16,0,15.983585858585858
16,1,15.983585858585858
16,2,15.983585858585858
16,3,15.983585858585858
16,4,15.983585858585858
16,5,15.983575837742505
16,6,15.98331028539362
16,7,15.982754128587462
16,8,15.981619268077601
16,9,15.974875240500241
16,10,15.436727474961044
16,11,8.10744267494382
16,12,7.680352633477633
16,13,6.979787958954626
16,15,5.967414722623056
16,18,4.989357864357864
16,19,4.94680936347603
16,20,4.028010762385763
16,30,2.9918580647747315
16,40,1.9995565776815776
16,50,1.0829350048100048
16,100,0.20635538856304986
32,0,31.92676767676768
32,1,31.92676767676768
32,2,31.92676767676768
32,3,31.92676767676768
32,4,31.926697530864196
32,5,31.92657764862089
32,6,31.924788748625268
32,7,31.92243251706645
32,8,31.91947262018984
32,9,31.90573175008768
32,10,30.042941742319485
32,11,8.070925024050023
32,12,7.644535634118967
32,13,6.934781846240179
32,15,5.950995570787238
32,18,4.992577060285393
32,19,4.94674172278339
32,20,4.0256207912457915
32,30,2.992304011584066
32,40,1.9997519841269842
32,50,1.105511964886965
32,100,0.24304302950136283
64,0,62.70170454545455
64,1,62.70170454545455
64,2,62.70170454545455
64,3,62.70170454545455
64,4,62.70141794223013
64,5,62.698238608322704
64,6,62.69671317984818
64,7,62.684839056358456
64,8,62.68656761286346
64,9,62.63122614001864
64,10,61.557923927093455
64,11,53.73759744684262
64,12,7.657429954304955
64,13,6.927957651915985
64,15,5.972911155202822
64,18,4.988117784992785
64,19,4.9283309283309285
64,20,4.032367526067123
64,30,2.992361612153279
64,40,1.999654280904281
64,50,1.1126267636684304
64,100,0.23762926887926888
